2,3,12,3,:13,1,1,1,
2,3,12,3,:12,1,1,2,
2,3,12,3,:11,1,1,3,
3,3,12,3,:11,1,2,3,
4,3,12,3,:11,1,3,3,
5,3,12,3,:11,1,4,3,
6,3,12,3,:11,1,5,3,
7,3,12,3,:11,1,6,3,
8,3,12,3,:11,1,7,3,
9,3,12,3,:12,1,8,3,
10,3,12,3,:12,2,9,3,
11,3,12,4,:12,3,10,3,
12,3,12,4,:13,3,11,3,
12,3,12,4,:13,4,11,4,
12,3,11,4,:12,4,11,5,
12,2,11,3,:12,3,11,4,
12,2,10,3,:11,3,11,4,
12,2,9,3,:10,3,11,4,
12,2,8,3,:9,3,11,4,
12,2,7,3,:8,3,11,4,
12,2,6,3,:7,3,11,4,
12,2,5,3,:6,3,11,4,
12,2,4,3,:5,3,11,3,
12,2,3,3,:4,3,11,2,
12,2,2,3,:3,3,11,1,
12,2,2,3,:3,3,12,1,
12,3,2,3,:3,3,12,2,
