11,2,6,2,:12,2,3,3,
11,2,6,2,:12,1,4,3,
11,2,6,2,:11,1,5,3,
11,3,6,2,:11,2,6,3,
11,4,6,2,:11,3,7,3,
11,5,6,2,:11,4,7,2,
11,6,5,2,:11,5,6,2,
11,7,4,2,:11,6,5,2,
11,7,4,2,:12,6,5,1,
11,7,4,2,:12,7,4,1,
10,7,4,3,:11,7,4,2,
9,7,4,4,:10,7,4,3,
8,7,4,5,:9,7,4,4,
7,7,4,6,:8,7,4,5,
7,7,4,7,:8,6,4,6,
7,7,4,8,:7,6,4,7,
4,9,:4,8,
7,8,4,9,:7,7,3,8,
7,8,4,9,:8,7,3,9,
7,8,5,9,:8,8,4,9,
6,8,6,9,:7,8,5,9,
6,8,7,9,:7,7,6,9,
6,8,7,9,:6,7,6,9,
6,9,8,9,:6,8,7,9,
5,9,8,9,:6,8,6,9,
5,9,8,9,:6,9,7,9,
4,9,9,9,:5,9,8,9,
3,9,10,9,:4,9,9,9,
2,9,11,9,:3,9,10,9,
1,9,12,9,:2,9,11,9,
